team,task,correct,incorrect,norm_score,top_3,precision,recall,time_correct_LSC24-KISJ03,time_correct_LSC24-QA02,time_correct_LSC24-AD03,time_correct_LSC24-KISJ05,time_correct_LSC24-AD04,time_correct_LSC24-QA04,time_correct_LSC24-KISJ06,time_correct_LSC24-AD05,time_correct_LSC24-QA05,time_correct_LSC24-KISJ02,time_correct_LSC24-AD01,time_correct_LSC24-QA01,time_correct_LSC24-AD02,time_correct_LSC24-KIS04,time_correct_LSC24-KISJ04,time_correct_LSC24-QA03,time_correct_full_LSC24-KISJ02,time_correct_full_LSC24-AD01,time_correct_full_LSC24-QA01,time_correct_full_LSC24-KISJ03,time_correct_full_LSC24-AD02,time_correct_full_LSC24-QA02,time_correct_full_LSC24-KIS04,time_correct_full_LSC24-KISJ04,time_correct_full_LSC24-AD03,time_correct_full_LSC24-QA03,time_correct_full_LSC24-KISJ05,time_correct_full_LSC24-AD04,time_correct_full_LSC24-QA04,time_correct_full_LSC24-KISJ06,time_correct_full_LSC24-AD05,time_correct_full_LSC24-QA05
PraK3,QA,2,6,40,0.0,0.25,0.4,209.45,inf,60.515,99.802,inf,inf,inf,46.176,75.218,102.421,53.848,inf,125.003,inf,inf,33.689,102.421,53.848,300.0,209.45,125.003,300.0,300,300.0,60.515,33.689,99.802,180.0,300.0,300.0,46.176,75.218
LifeSeeker2,QA,2,3,33,0.0,0.4,0.4,inf,inf,97.342,241.47,65.905,210.85,inf,inf,inf,inf,inf,inf,inf,inf,34.875,32.277,300.0,180.0,300.0,300.0,180.0,300.0,300,34.875,97.342,32.277,241.47,65.905,210.85,300.0,180.0,300.0
LIFEXPLORE1,AD,151,10,66,,0.6263364542434309,0.3098890692640693,187.391,38.723,23.254,93.432,52.229,49.273,77.969,19.924,70.655,196.772,29.772,113.881,inf,inf,7.694,17.331,196.772,29.772,113.881,187.391,180.0,38.723,300,7.694,23.254,17.331,93.432,52.229,49.273,77.969,19.924,70.655
SnapSeek1,AD,136,3,100,,0.9712264150943396,0.4232954545454546,177.263,52.759,67.105,132.188,34.799,inf,162.683,23.329,inf,124.926,61.405,143.702,58.319,inf,28.804,40.222,124.926,61.405,143.702,177.263,58.319,52.759,300,28.804,67.105,40.222,132.188,34.799,300.0,162.683,23.329,300.0
LIFEXPLORE2,AD,123,7,63,,0.7913725490196079,0.2903003246753247,232.345,26.349,78.444,80.617,37.286,181.573,32.578,19.373,41.26,224.675,175.762,140.12,45.542,inf,21.566,17.492,224.675,175.762,140.12,232.345,45.542,26.349,300,21.566,78.444,17.492,80.617,37.286,181.573,32.578,19.373,41.26
VISIONE1,AD,161,16,91,,0.8717882117882118,0.4104301948051948,185.52,62.068,32.913,123.5,29.759,122.021,inf,17.9,227.492,141.832,86.426,210.565,75.817,inf,81.538,25.509,141.832,86.426,210.565,185.52,75.817,62.068,300,81.538,32.913,25.509,123.5,29.759,122.021,300.0,17.9,227.492
Libro1,AD,180,64,61,,0.6205555555555555,0.27969426406926406,201.286,62.313,54.071,79.473,49.182,148.371,64.2,45.716,45.04,135.646,inf,inf,63.963,inf,17.533,23.983,135.646,180.0,300.0,201.286,63.963,62.313,300,17.533,54.071,23.983,79.473,49.182,148.371,64.2,45.716,45.04
Exquisitor,AD,100,7,94,,0.8904166666666666,0.42267316017316015,214.261,238.876,36.612,90.338,23.291,inf,74.162,12.801,34.096,256.351,27.71,inf,48.231,inf,155.44,21.061,256.351,27.71,300.0,214.261,48.231,238.876,300,155.44,36.612,21.061,90.338,23.291,300.0,74.162,12.801,34.096
PraK1,AD,480,6,93,,0.9755751346059716,0.3977949134199134,185.781,69.434,41.243,95.808,49.145,110.559,294.992,28.041,65.214,inf,147.847,inf,78.163,inf,187.843,27.724,300.0,147.847,300.0,185.781,78.163,69.434,300,187.843,41.243,27.724,95.808,49.145,110.559,294.992,28.041,65.214
VISIONE3,AD,135,12,75,,0.8289408866995073,0.3443452380952381,204.494,92.556,49.489,89.806,32.295,inf,inf,17.409,66.329,105.514,40.3,249.004,52.721,inf,164.442,46.005,105.514,40.3,249.004,204.494,52.721,92.556,300,164.442,49.489,46.005,89.806,32.295,300.0,300.0,17.409,66.329
Libro2,AD,237,48,57,,0.6653136531365313,0.24994588744588744,inf,64.948,38.333,91.732,57.045,259.249,141.371,51.286,47.198,142.435,83.641,inf,inf,inf,94.792,30.181,142.435,83.641,300.0,300.0,180.0,64.948,300,94.792,38.333,30.181,91.732,57.045,259.249,141.371,51.286,47.198
LIFEXPLORE3,AD,60,3,32,,0.7161538461538461,0.1380005411255411,167.017,25.762,48.621,50.966,111.535,219.211,58.331,14.414,41.172,inf,inf,141.417,120.632,inf,10.286,18.702,300.0,180.0,141.417,167.017,120.632,25.762,300,10.286,48.621,18.702,50.966,111.535,219.211,58.331,14.414,41.172
SnapSeek2,AD,50,13,62,,0.6814814814814815,0.3142316017316017,235.739,54.165,95.062,inf,46.873,inf,256.256,24.606,177.434,131.953,60.492,151.654,57.376,inf,50.689,44.628,131.953,60.492,151.654,235.739,57.376,54.165,300,50.689,95.062,44.628,300.0,46.873,300.0,256.256,24.606,177.434
SnapSeek4,AD,66,10,25,,0.6166666666666666,0.13910984848484848,242.949,49.359,45.78,132.149,33.85,71.956,127.689,21.538,220.672,165.865,94.931,198.081,145.577,inf,27.893,34.925,165.865,94.931,198.081,242.949,145.577,49.359,300,27.893,45.78,34.925,132.149,33.85,71.956,127.689,21.538,220.672
SnapSeek5,AD,102,23,38,,0.6914619883040937,0.2289231601731602,300.0,86.888,26.924,131.249,157.753,294.815,161.834,18.2,inf,124.022,80.522,142.766,154.477,inf,42.628,26.393,124.022,80.522,142.766,300.0,154.477,86.888,300,42.628,26.924,26.393,131.249,157.753,294.815,161.834,18.2,300.0
EAGLE1,AD,65,7,13,,0.5265536723163842,0.05726461038961039,inf,57.941,86.54,113.895,164.166,243.846,34.444,21.122,194.511,121.269,inf,111.113,inf,inf,11.277,32.422,121.269,180.0,111.113,300.0,180.0,57.941,300,11.277,86.54,32.422,113.895,164.166,243.846,34.444,21.122,194.511
MEMORIA,AD,69,8,35,,0.5878787878787879,0.15392316017316018,174.499,172.756,46.236,203.791,141.267,261.884,97.549,17.819,116.541,151.605,inf,300.0,105.873,inf,191.25,160.606,151.605,180.0,300.0,174.499,105.873,172.756,300,191.25,46.236,160.606,203.791,141.267,261.884,97.549,17.819,116.541
Retrospect1,AD,92,0,37,,0.8,0.15423430735930738,201.65,69.692,171.438,218.744,180.0,inf,56.605,153.997,56.94,167.977,155.003,inf,inf,inf,188.589,90.772,167.977,155.003,300.0,201.65,180.0,69.692,300,188.589,171.438,90.772,218.744,180.0,300.0,56.605,153.997,56.94
PraK2,AD,672,30,62,,0.47055555555555556,0.2758928571428571,273.686,180.514,29.3,69.542,inf,274.171,225.748,27.6,53.084,224.418,inf,inf,54.06,inf,inf,26.023,224.418,180.0,300.0,273.686,54.06,180.514,300,300.0,29.3,26.023,69.542,180.0,274.171,225.748,27.6,53.084
LifeInsight,AD,219,127,43,,0.47861682435211844,0.22198322510822513,184.74,76.54,162.699,116.657,41.765,298.191,65.673,31.402,87.294,201.35,inf,inf,72.348,inf,22.587,inf,201.35,180.0,300.0,184.74,72.348,76.54,300,22.587,162.699,300.0,116.657,41.765,298.191,65.673,31.402,87.294
VitaChronicle1,AD,255,13,39,,0.48484848484848486,0.178517316017316,inf,69.0,118.013,91.188,80.782,inf,104.28,37.081,50.152,inf,171.867,166.805,inf,inf,8.887,24.521,300.0,171.867,166.805,300.0,180.0,69.0,300,8.887,118.013,24.521,91.188,80.782,300.0,104.28,37.081,50.152
CollaXRSearch1,AD,49,7,49,,0.713939393939394,0.2349837662337662,202.831,97.907,64.62,inf,49.633,105.491,inf,37.546,78.46,232.317,91.557,209.63,97.813,inf,271.373,44.625,232.317,91.557,209.63,202.831,97.813,97.907,300,271.373,64.62,44.625,300.0,49.633,105.491,300.0,37.546,78.46
vitrivr-VR,AD,100,7,23,,0.6933333333333334,0.10358495670995671,214.438,199.17,50.117,136.215,141.022,128.422,51.871,36.496,278.351,223.373,inf,inf,108.398,inf,69.968,74.655,223.373,180.0,300.0,214.438,108.398,199.17,300,69.968,50.117,74.655,136.215,141.022,128.422,51.871,36.496,278.351
MemoriEase,AD,135,50,53,,0.5721092340495325,0.2553300865800866,235.136,53.57,30.263,98.085,inf,171.406,221.872,17.367,35.43,102.937,105.593,inf,52.746,inf,inf,inf,102.937,105.593,300.0,235.136,52.746,53.57,300,300.0,30.263,300.0,98.085,180.0,171.406,221.872,17.367,35.43
Libro3,AD,204,223,67,,0.6709794878019177,0.4375,inf,83.444,42.523,99.692,38.217,inf,inf,48.907,70.058,139.957,79.063,inf,83.597,inf,inf,23.376,139.957,79.063,300.0,300.0,83.597,83.444,300,300.0,42.523,23.376,99.692,38.217,300.0,300.0,48.907,70.058
LifeSeeker1,AD,134,13,17,,0.40505494505494505,0.0887987012987013,230.489,144.811,53.101,73.259,70.364,31.735,300.0,33.375,128.403,inf,inf,inf,inf,inf,33.525,44.83,300.0,180.0,300.0,230.489,180.0,144.811,300,33.525,53.101,44.83,73.259,70.364,31.735,300.0,33.375,128.403
SnapSeek3,AD,96,45,21,,0.3576555023923445,0.12705627705627703,176.231,89.379,179.533,inf,97.6,inf,190.106,21.886,212.494,133.766,inf,135.962,139.336,inf,44.732,90.726,133.766,180.0,135.962,176.231,139.336,89.379,300,44.732,179.533,90.726,300.0,97.6,300.0,190.106,21.886,212.494
VISIONE2,AD,124,12,32,,0.6369518190757129,0.1563176406926407,inf,inf,30.612,104.602,77.713,106.432,71.008,27.204,200.043,82.68,inf,inf,107.495,inf,223.478,32.236,82.68,180.0,300.0,300.0,107.495,300.0,300,223.478,30.612,32.236,104.602,77.713,106.432,71.008,27.204,200.043
Memento,AD,145,15,20,,0.5503401360544218,0.09519751082251082,164.639,51.851,63.62,105.289,29.963,inf,inf,24.158,45.475,233.592,inf,inf,81.797,inf,17.417,32.24,233.592,180.0,300.0,164.639,81.797,51.851,300,17.417,63.62,32.24,105.289,29.963,300.0,300.0,24.158,45.475
EAGLE2,AD,36,6,11,,0.5145833333333333,0.049310064935064936,inf,51.394,50.769,146.42,128.719,274.46,49.773,43.61,189.759,inf,inf,122.621,inf,inf,32.773,41.462,300.0,180.0,122.621,300.0,180.0,51.394,300,32.773,50.769,41.462,146.42,128.719,274.46,49.773,43.61,189.759
LifeLens1,AD,123,14,27,,0.5168595041322315,0.1256358225108225,inf,98.077,43.943,277.744,31.462,inf,inf,21.533,115.987,inf,inf,104.824,124.01,inf,16.017,31.694,300.0,180.0,104.824,300.0,124.01,98.077,300,16.017,43.943,31.694,277.744,31.462,300.0,300.0,21.533,115.987
Lifegraph,AD,61,14,40,,0.47333333333333333,0.18958333333333333,inf,69.217,62.566,154.304,inf,inf,284.895,85.598,114.189,211.116,64.634,inf,inf,inf,inf,75.434,211.116,64.634,300.0,300.0,180.0,69.217,300,300.0,62.566,75.434,154.304,180.0,300.0,284.895,85.598,114.189
vitrivr,AD,72,3,24,,0.9142857142857143,0.10689935064935066,196.502,66.242,93.976,131.121,48.417,inf,inf,30.281,143.821,inf,88.519,inf,105.71,inf,66.413,63.97,300.0,88.519,300.0,196.502,105.71,66.242,300,66.413,93.976,63.97,131.121,48.417,300.0,300.0,30.281,143.821
Voxento,AD,87,2,17,,0.6548051948051947,0.08440205627705628,inf,78.3,32.48,297.728,82.488,73.14,inf,22.237,76.59,118.012,inf,inf,124.239,inf,45.11,inf,118.012,180.0,300.0,300.0,124.239,78.3,300,45.11,32.48,300.0,297.728,82.488,73.14,300.0,22.237,76.59
MyEachtra,AD,94,16,11,,0.3096907216494845,0.060957792207792204,190.313,58.117,175.523,125.141,168.235,70.408,143.937,23.312,68.627,inf,inf,inf,inf,inf,inf,inf,300.0,180.0,300.0,190.313,180.0,58.117,300,300.0,175.523,300.0,125.141,168.235,70.408,143.937,23.312,68.627
PraK3,AD,26,13,26,,0.6755555555555556,0.12573051948051947,209.45,inf,60.515,99.802,inf,inf,inf,46.176,75.218,102.421,53.848,inf,125.003,inf,inf,33.689,102.421,53.848,300.0,209.45,125.003,300.0,300,300.0,60.515,33.689,99.802,180.0,300.0,300.0,46.176,75.218
LifeSeeker2,AD,5,55,10,,0.05244444444444444,0.12053571428571427,inf,inf,97.342,241.47,65.905,210.85,inf,inf,inf,inf,inf,inf,inf,inf,34.875,32.277,300.0,180.0,300.0,300.0,180.0,300.0,300,34.875,97.342,32.277,241.47,65.905,210.85,300.0,180.0,300.0
